,source_vendor_name,type,mid,wiki_url,result_vendor_name
39,SJÃ“VÃ ,OTHER,-,-,SJÃ
40,VIGNESH TRAVELS ,PERSON,-,-,VIGNESH
41,REIKNISTOFA BANKANNA ,PERSON,/g/11cn05mqdj,-,REIKNISTOFA BANKANNA
42,NAVEEN SATTAR ,PERSON,-,-,NAVEEN SATTAR
43,FARAH SATTAR ,PERSON,-,-,FARAH SATTAR
44,SkÃ¸yen NÃ¦ringsbygg AS ,OTHER,-,-,SkÃ ̧
45,Bharti Airtel limited ,ORGANIZATION,/m/0kqh5s,https://en.wikipedia.org/wiki/Bharti_Airtel,Bharti Airtel
46,EDGA EXCHANGE INC  ,OTHER,-,-,EDGA EXCHANGE INC
47,Dotex International Limted ,OTHER,-,-,Dotex International Limted
48,EXPRESS SCRIPTS INC ,ORGANIZATION,/m/02twsr,https://en.wikipedia.org/wiki/Express_Scripts,EXPRESS SCRIPTS INC
49,Tamaraw Security Service Inc  ,ORGANIZATION,-,-,Tamaraw Security Service Inc
50,EVERCORE GROUP LLC ,ORGANIZATION,/m/09n6tss,-,EVERCORE GROUP LLC
51,Ernst & Young AB ,CONSUMER_GOOD,-,-,Ernst & Young AB
52,Dell AB ,-,-,-,-
53,IEX Group Inc  ,ORGANIZATION,-,-,IEX Group Inc
54,CITIGROUP GLOBAL MARKETS ,ORGANIZATION,/g/11cs63sp8g,-,CITIGROUP GLOBAL MARKETS
55,INTERACTIVE BROKERS LLC ,ORGANIZATION,/m/012fzlw4,https://en.wikipedia.org/wiki/Interactive_Brokers,INTERACTIVE BROKERS LLC
56,KÃ³Ã°i ehf ,OTHER,-,-,ehf
57,MOHAMMED DASTAGIR ,PERSON,-,-,MOHAMMED DASTAGIR
58,VOYG TRANSPORT SERVICES INC  ,OTHER,-,-,VOYG TRANSPORT SERVICES INC
59,Link Consulting ,OTHER,-,-,Link Consulting
60,TRI-Q RESPONSIBLE SERVICES INC  ,ORGANIZATION,-,-,SERVICES INC
61,CNBC ,ORGANIZATION,/m/01gl9g,https://en.wikipedia.org/wiki/CNBC,CNBC
62,WORKDAY INC ,OTHER,/m/02rf_68,"https://en.wikipedia.org/wiki/Workday,_Inc.",WORKDAY INC
63,G4S Secure Solutions (lndia) Private Lim ,ORGANIZATION,/m/01c4rw,https://en.wikipedia.org/wiki/G4S_Secure_Solutions,G4S Secure Solutions
64,Leanon ,OTHER,/g/11b7grk577,-,Leanon
65,MERRILL LYNCH PIERCE FENNER & SMITH INC ,ORGANIZATION,-,-,MERRILL LYNCH
66,FORT BONIFACIO DEVELOPMENT ,LOCATION,/m/07wg00,https://en.wikipedia.org/wiki/Bonifacio_Global_City,FORT BONIFACIO
67,TeliaSonera Sverige AB ,OTHER,-,-,TeliaSonera Sverige AB
68,CIGNA HEALTH AND LIFE INSURANCE COMPANY ,ORGANIZATION,/m/02twsr,https://en.wikipedia.org/wiki/Express_Scripts,CIGNA
69,AON Hong Kong Limited ,ORGANIZATION,/g/12hlxnqnn,-,AON Hong Kong Limited
70,Origo ,OTHER,/g/120z6z3n,https://en.wikipedia.org/wiki/Origo (website),Origo
71,Ernst & Young ehf ,ORGANIZATION,/m/0g9jc,https://en.wikipedia.org/wiki/Ernst_&_Young,Ernst & Young
72,Quess Corp Limited ,ORGANIZATION,/g/11cjbvccrr,https://en.wikipedia.org/wiki/Quess_Corp,Quess Corp Limited
73,Michael Page International ,ORGANIZATION,/m/04cxldw,https://en.wikipedia.org/wiki/PageGroup,Michael Page International
74,Turner & Townsend AB ,PERSON,-,-,Turner & Townsend AB
75,Comnet i Danderyd AB ,OTHER,-,-,Danderyd AB
76,Euroclear Sweden AB ,ORGANIZATION,-,-,Euroclear
77,Reflex Arkitekter AB ,-,-,-,-
78,STATE STREET BANK AND TRUST COMPANY ,ORGANIZATION,/m/09mwtzw,https://en.wikipedia.org/wiki/State_Street_Bank_and_Trust_Company,STATE STREET BANK AND TRUST COMPANY
79,Dimension Data India Pvt Limited ,ORGANIZATION,-,-,Dimension Data India Pvt Limited
80,DASH FINANCIAL TECHNOLOGIES LLC ,ORGANIZATION,-,-,DASH FINANCIAL TECHNOLOGIES LLC
81,CISCO SYSTEMS CAPITAL CORPORATION ,ORGANIZATION,/m/09mz6c8,-,CISCO SYSTEMS CAPITAL CORPORATION
82,Dell International Services India PLtd ,ORGANIZATION,/g/1wn_4j_g,-,Dell International Services
83,Deloitte ehf ,ORGANIZATION,/m/02spfd,https://en.wikipedia.org/wiki/Deloitte,Deloitte
84,Rg19 i Norden AB ,CONSUMER_GOOD,-,-,Rg19 i Norden AB
85,FjÃRMÃLAEFTIRLITIÃ ,ORGANIZATION,-,-,FjÃ RMÃ LAEFTIRLITIÃ
86,ORACLE AMERICA INC  ,ORGANIZATION,/g/11c1x5nw2q,-,ORACLE AMERICA INC
87,WEST UNIFIED COMMUNICATIONS SERVICES INC ,ORGANIZATION,-,-,WEST UNIFIED COMMUNICATIONS SERVICES INC
88,TUNDRA TECHNICAL SOLUTIONS INDIA PRIVATE ,ORGANIZATION,-,-,TUNDRA TECHNICAL SOLUTIONS INDIA
89,ERNST & YOUNG U S  LLP ,PERSON,-,-,ERNST & YOUNG US LLP
90,DOW JONES & COMPANY INC  ,ORGANIZATION,/m/0clj7,https://en.wikipedia.org/wiki/Dow_Jones_&_Company,DOW JONES & COMPANY INC
91,FACEBOOK INC  ,OTHER,/m/0hmyfsv,https://de.wikipedia.org/wiki/Facebook_Inc.,FACEBOOK INC
92,NISHA GAFFAR ,PERSON,-,-,NISHA GAFFAR
93,SCALEARC ,OTHER,-,-,SCALEARC
94,Reitir III ehf ,OTHER,-,-,Reitir III
95,Microsoft Corporation ,ORGANIZATION,/m/04sv4,https://en.wikipedia.org/wiki/Microsoft,Microsoft Corporation
96,FOUR TIMES SQUARE ASSOC  LLC ,ORGANIZATION,-,-,TIMES SQUARE ASSOC LLC
97,Tele2 Sverige AB ,OTHER,-,-,Tele2 Sverige AB
98,National Labor Relations Commission ,ORGANIZATION,/m/064n806,https://en.wikipedia.org/wiki/National_Labor_Relations_Commission_(Philippines),National Labor Relations Commission
99,FINRA ,ORGANIZATION,/m/02w85_g,https://en.wikipedia.org/wiki/Financial_Industry_Regulatory_Authority,FINRA
100,MEDICARD PHILIPPINES INC  ,ORGANIZATION,-,-,MEDICARD PHILIPPINES INC
101,ZAPCO 1500 INVESTMENT L P  ,ORGANIZATION,/g/11cs61ht1v,-,ZAPCO 1500 INVESTMENT LP
102,NYSE ARCA OPTIONS INC ,OTHER,-,-,NYSE ARCA OPTIONS INC
103,BUSINESS PROCESS OUTSOURCING ,OTHER,-,-,BUSINESS PROCESS OUTSOURCING
104,TANGOE INC  ,OTHER,/g/11c73t2dkl,-,TANGOE INC
105,GOLDMAN SACHS EXECUTION & CLEARING LP ,ORGANIZATION,/m/01xdn1,https://en.wikipedia.org/wiki/Goldman_Sachs,GOLDMAN SACHS
106,MORGAN STANLEY ELECTRONIC TRADING ,ORGANIZATION,/m/0jvs0,https://en.wikipedia.org/wiki/Morgan_Stanley,MORGAN STANLEY
107,COWEN EXECUTION SERVICES LLC ,ORGANIZATION,/g/11c1x73pqw,-,COWEN EXECUTION SERVICES LLC
108,ALVAREZ & MARSAL PRIVATE EQUITY ,PERSON,-,-,ALVAREZ
109,BRANDYWINE OPERATING PARTNERSHIP L P  ,ORGANIZATION,/m/09mrvcl,-,BRANDYWINE OPERATING PARTNERSHIP LP
110,NORTHERN TRUST COMPANY ,ORGANIZATION,/m/0c0vmt,https://en.wikipedia.org/wiki/Northern_Trust,NORTHERN TRUST COMPANY
111,CLOUD CATERING ,OTHER,-,-,CLOUD CATERING
112,Brokerway AB ,OTHER,-,-,Brokerway AB
113,Mbrace AB ,OTHER,-,-,Mbrace AB
114,AKAMAI TECHNOLOGIES INC  ,ORGANIZATION,/m/02fqbt,https://en.wikipedia.org/wiki/Akamai_Technologies,AKAMAI TECHNOLOGIES INC
115,Thomson Reuters (Markets) LLC ,ORGANIZATION,-,-,Thomson Reuters
116,SE KKEDC TANGEDCO NGL ,PERSON,-,-,SE KKEDC
117,AprÃ­l Almannatengsl ehf ,PERSON,-,-,AprÃl Almannatengsl
118,Ryska Posten AB ,-,-,-,-
119,Colliers International Philippines Inc ,ORGANIZATION,-,-,Colliers International Philippines Inc
120,Swamy Motors ,PERSON,-,-,Swamy Motors
121,Grand Hotel Stockholm ,LOCATION,/m/0dm_2r,https://en.wikipedia.org/wiki/Grand_Hôtel_(Stockholm),Grand Hotel Stockholm
122,Canon India Pvt Ltd ,ORGANIZATION,-,-,Canon India Pvt Ltd
123,Pelle Halling AB ,OTHER,-,-,Pelle
124,Piedmont Operating Partnership LP ,OTHER,/m/09n4dgs,-,Piedmont Operating Partnership LP
125,Riada AB ,OTHER,/g/11c73mh0b_,-,Riada AB
126,AON RISK SERVICES NORTHEAST INC  ,OTHER,-,-,AON RISK SERVICES NORTHEAST INC
127,Ãrvakur hf  ,OTHER,-,-,Ã rvakur hf
128,Statens Innkrevingssentral ,ORGANIZATION,/g/121f4bgh,https://en.wikipedia.org/wiki/Norwegian_National_Collection_Agency,Statens Innkrevingssentral
129,OTIS Elevator Company India Ltd ,ORGANIZATION,-,-,OTIS Elevator Company India Ltd
130,Sveriges Riksbank ,-,-,-,-
131,NASDAQ ENTREPRENEURIAL CENTER INC  ,OTHER,-,-,NASDAQ ENTREPRENEURIAL CENTER INC
132,Energimyndigheten ,OTHER,/g/11dyl56wc,https://sv.wikipedia.org/wiki/Energimyndigheten,Energimyndigheten
133,GIRLEY'S GRIL ,PERSON,-,-,GIRLEY
134,ZAYO GROUP HOLDINGS INC ,ORGANIZATION,/m/0j67hm9,https://en.wikipedia.org/wiki/Zayo_Group,ZAYO GROUP HOLDINGS INC
135,A  FONNESBECH A  S ,ORGANIZATION,-,-,FONNESBECH
136,JYOTHI CATERERS ,PERSON,-,-,JYOTHI
137,UNISPACE OF BOSTON LLC ,ORGANIZATION,-,-,UNISPACE OF BOSTON LLC
138,BROADRIDGE ICS INC ,OTHER,-,-,BROADRIDGE ICS INC
139,IMPERVA INC ,OTHER,/m/02sjyv_,https://en.wikipedia.org/wiki/Imperva,IMPERVA INC
140,R A V Catering Service ,OTHER,-,-,RAV Catering Service
141,The Cake World ,OTHER,-,-,Cake World
142,Azets Insight AB ,OTHER,-,-,Azets Insight AB
143,EBPA LLC ,ORGANIZATION,-,-,EBPA LLC
144,fiveÂ°degrees ,-,-,-,-
145,NYSE TECHNOLOGIES CONNECTIVITY INC  ,OTHER,/m/03dzt3r,-,NYSE TECHNOLOGIES CONNECTIVITY INC
146,Coromatic AB ,OTHER,-,-,Coromatic AB
147,CANADIAN PRESS ENTERPRISES INC  ,ORGANIZATION,/m/02mchr,https://en.wikipedia.org/wiki/The_Canadian_Press,CANADIAN PRESS ENTERPRISES INC
148,Jones Lang Lasalle (NSW) P  L ,ORGANIZATION,/m/073tgq,https://en.wikipedia.org/wiki/JLL_(company),Jones Lang Lasalle
149,CHUBB AND SON A DIVISION OF FEDERAL INS ,PERSON,-,-,CHUBB
150,CHAIN INC ,OTHER,/g/11c1x57gnv,-,CHAIN INC
151,advania ,OTHER,-,-,advania
152,Stockholm Spis AB ,-,-,-,-
153,Stanly Cabs ,CONSUMER_GOOD,-,-,Stanly Cabs
154,JP MORGAN CLEARING CORP ,ORGANIZATION,/m/09msb77,-,JP MORGAN CLEARING CORP
155,Ascent Consulting Services (Pvt) Ltd ,ORGANIZATION,/g/11cs63tpw5,-,Ascent Consulting Services (Pvt) Ltd
156,Ã–hrlings PricewaterhouseCoopers AB ,OTHER,-,-,Ã
157,Aktiebolaget J A  Joleby ,OTHER,-,-,Aktiebolaget JA Joleby
158,THE PHILIPPINE AMERICAN LIFE AND GENERAL ,OTHER,-,-,PHILIPPINE AMERICAN LIFE AND GENERAL
159,FACTSET RESEARCH SYSTEMS INC  ,ORGANIZATION,/m/0g73q4,https://en.wikipedia.org/wiki/FactSet,FACTSET RESEARCH SYSTEMS INC
160,Meyer Kantiner ,ORGANIZATION,-,-,Meyer Kantiner
161,KPMG AB ,OTHER,-,-,KPMG AB
162,ACQUIA INC ,OTHER,/m/07904fx,https://en.wikipedia.org/wiki/Acquia,ACQUIA INC
163,Cubic Computing Pvt Ltd ,ORGANIZATION,/g/1tslh4vq,-,Cubic Computing Pvt Ltd
164,Deloitte AB ,OTHER,-,-,Deloitte AB
165,CNBC ASIA PACIFIC ,OTHER,-,-,CNBC ASIA PACIFIC
166,B S R & Co  LLP ,ORGANIZATION,/g/11cs635mk7,-,BSR & Co LLP
167,QUAERITO QUALITAS INC  ,ORGANIZATION,-,-,QUAERITO QUALITAS INC
168,CODE AND THEORY LLC ,OTHER,-,-,CODE AND THEORY LLC
169,EQUINIX CANADA LTD ,ORGANIZATION,/g/11cs5_stfw,-,EQUINIX CANADA LTD
170,Algorithmica Research AB ,OTHER,-,-,Algorithmica Research AB
171,LIGHTOWER FIBER NETWORKS II LLC ,ORGANIZATION,/m/0k0q7_c,https://en.wikipedia.org/wiki/Lightower_Fiber_Networks,LIGHTOWER FIBER NETWORKS II LLC
172,Man Hing Hong Land Investment Co Ltd ,ORGANIZATION,-,-,Man Hing Hong Land Investment Co Ltd
173,Skandinaviska Enskilda Banken ,-,-,-,-
174,SÃ­maveriÃ° ehf ,OTHER,-,-,ehf
175,MEKANISM INC ,OTHER,/m/02vyr7d,https://en.wikipedia.org/wiki/Mekanism,MEKANISM INC
176,Skandinaviska Enskilda Banken AB (publ) ,-,-,-,-
177,SOUDHAMINI ENTERPRISES ,ORGANIZATION,-,-,SOUDHAMINI
178,LEX LÃ¶gmannsstofa ,PERSON,-,-,LEX LÃ
179,VERIZON BUSINESS ,ORGANIZATION,-,-,VERIZON
180,MY BOX Bakers Confectioners ,OTHER,-,-,BOX Bakers Confectioners
181,WEBER SHANDWICK WORLDWIDE ,ORGANIZATION,/m/0263xkz,https://en.wikipedia.org/wiki/Weber_Shandwick,WEBER SHANDWICK WORLDWIDE
182,AVARN Security Services AB ,OTHER,-,-,AVARN Security Services AB
183,KILROY REALTY L P ,ORGANIZATION,/m/09m6bnj,-,KILROY REALTY LP
184,PIVOTAL SOFTWARE INC ,OTHER,/m/0w1fyfw,https://en.wikipedia.org/wiki/Pivotal_Software,PIVOTAL SOFTWARE INC
185,PENGUIN COMPUTING INC ,OTHER,-,-,PENGUIN COMPUTING INC
186,ICICI LOMBARD GIC LTD ,ORGANIZATION,/m/02pj42f,https://en.wikipedia.org/wiki/ICICI_Lombard,ICICI LOMBARD
187,Waltermart Supermarket Inc  ,ORGANIZATION,-,-,Waltermart Supermarket Inc
188,Design Republic Partners Architects LLP ,OTHER,-,-,Design
189,Delta Lloyd Levensverzekering N V  ,ORGANIZATION,/g/11cs67kdx_,-,Delta Lloyd Levensverzekering NV
190,ASSOCIATED PRESS ,ORGANIZATION,/m/0cv_2,https://en.wikipedia.org/wiki/Associated_Press,ASSOCIATED PRESS
191,Myllusetur ehf ,OTHER,-,-,Myllusetur ehf
192,ACP UTAH FOUR IRVINGTON LLC ,ORGANIZATION,-,-,ACP
193,TELUS COMMUNICATIONS ,ORGANIZATION,/m/0154cw,https://en.wikipedia.org/wiki/Telus,TELUS COMMUNICATIONS
194,NYSE Market Inc  ,ORGANIZATION,/m/09m5hjc,-,NYSE Market Inc
195,Institute of Directors India ,ORGANIZATION,-,-,Institute of Directors
196,The Institute of Company Secretaries of ,ORGANIZATION,-,-,Institute of Company Secretaries
197,Pixel Space AB ,OTHER,-,-,Pixel Space AB
198,InrÃ¤tt InredningsmontÃ¶rerna AB ,PERSON,/m/057xj7,https://en.wikipedia.org/wiki/Institut_national_de_la_recherche_agronomique,InrÃ
199,DANSK MILJÃ˜RENGÃ˜RING A  S ,LOCATION,-,-,DANSK MILJÃ
200,SEB Pension och FÃ¶rsÃ¤kring AB ,-,-,-,-
201,Hospitals Contribution Fund of Australia ,ORGANIZATION,-,-,Hospitals Contribution Fund of Australia
202,RADIANZ AMERICAS INC  ,ORGANIZATION,/g/11b6g5xknj,-,RADIANZ AMERICAS INC
203,Verizon Sweden Aktiebolag ,ORGANIZATION,-,-,Verizon
204,NordicLAN ,OTHER,-,-,NordicLAN
205,PS Arkitektur AB ,-,-,-,-
206,Interoute Managed Services Netherlands B ,ORGANIZATION,/m/0dstn5,https://en.wikipedia.org/wiki/Interoute,Interoute
207,Malmqvist Equity Research AB ,OTHER,-,-,Malmqvist Equity Research AB
208,KPMG ehf  ,ORGANIZATION,/m/0k2gt,https://en.wikipedia.org/wiki/KPMG,KPMG
209,K-markt AB ,PERSON,-,-,AB
210,SLVR AIRCOMFORT SYSTEMS PRIVATE LIMITED ,OTHER,-,-,LIMITED
211,CUSHMAN & WAKEFIELD U S   INC ,ORGANIZATION,/m/06krnf,https://en.wikipedia.org/wiki/Cushman_&_Wakefield,CUSHMAN & WAKEFIELD
212,Qwiwi Management Consulting Company Ltd ,ORGANIZATION,-,-,Qwiwi Management Consulting Company Ltd
213,Equinix (UK) Ltd ,ORGANIZATION,-,-,Equinix (UK) Ltd
214,CENTURYLINK QC ,LOCATION,-,-,CENTURYLINK QC
215,Infrontit Partner Aktiebolag ,OTHER,-,-,Infrontit Partner Aktiebolag
216,The Baltic Exchange Information Services ,ORGANIZATION,-,-,Baltic Exchange Information Services
217,KOTE FOUNDATION ,ORGANIZATION,-,-,KOTE FOUNDATION
218,NORIS NETWORK ,OTHER,/g/1tgq5n14,-,NORIS NETWORK
219,ConCaptus AB ,OTHER,-,-,ConCaptus AB
220,PRUDENTIAL INSURANCE ,OTHER,-,-,INSURANCE
221,FRUCHER LLC ,PERSON,-,-,FRUCHER LLC
222,CHICAGO STOCK EXCHANGE INC  ,ORGANIZATION,/m/01hgyp,https://en.wikipedia.org/wiki/Chicago_Stock_Exchange,CHICAGO STOCK EXCHANGE INC
223,Kumaran Mess ,OTHER,-,-,Kumaran Mess
224,World Wide Fund For Nature-India ,ORGANIZATION,/m/0829b,https://en.wikipedia.org/wiki/World_Wide_Fund_for_Nature,World Wide Fund For Nature-India
225,Inspira ,OTHER,-,-,Inspira
226,NextUp Technologies Pvt Ltd ,ORGANIZATION,-,-,NextUp Technologies Pvt Ltd
227,LUCENA RESEARCH INC ,OTHER,-,-,LUCENA RESEARCH INC
228,Statnett SF ,OTHER,/m/0h5582,https://en.wikipedia.org/wiki/Statnett,Statnett SF
229,Klak Innovit ehf ,PERSON,-,-,Klak Innovit
230,SFI HUMAN RESOURCES CONSULTANCY INC  ,OTHER,-,-,SFI HUMAN RESOURCES CONSULTANCY INC
231,SEB SECURITIES INC ,ORGANIZATION,/g/11cs638rc4,-,SEB SECURITIES INC
232,MERGENT INC ,OTHER,/g/11vh__tv0,-,MERGENT INC
233,EOX HOLDINGS LLC ,ORGANIZATION,/g/11c5bbhd3y,-,EOX HOLDINGS LLC
234,Anna Manhusen ,PERSON,-,-,Anna Manhusen
235,COUPA SOFTWARE INC  ,OTHER,/m/03cp_t5,https://en.wikipedia.org/wiki/Coupa,COUPA SOFTWARE INC
236,sensa ,OTHER,/m/04cvzqy,https://en.wikipedia.org/wiki/Sensa_(diet),sensa
237,TRICENTIS GMBH ,OTHER,/g/11cmh5f97v,https://en.wikipedia.org/wiki/Tricentis,TRICENTIS GMBH
238,Infront AS ,OTHER,-,-,Infront
239,KELLY OUTSOURCING AND CONSULTING ,OTHER,-,-,KELLY OUTSOURCING
240,Telenor Norge AS -  Bedrift AS ,-,-,-,-
241,Ã–hrlings PriceWaterHouseCooprs AB ,OTHER,-,-,Ã
242,Delfinbuss AB ,OTHER,-,-,Delfinbuss AB
243,Stadshusrestauranger Stockholm AB ,ORGANIZATION,/g/11f_j3tlv7,-,Stadshusrestauranger Stockholm AB
244,SMPI MAKATI FLAGSHIP REALTY CORP ,ORGANIZATION,/g/11cs65jbzw,-,SMPI MAKATI FLAGSHIP REALTY CORP
245,MELILLO CONSULTING INC ,ORGANIZATION,/g/1dtvxjbd,-,MELILLO CONSULTING INC
246,INSTINET LLC ,ORGANIZATION,/m/05p5lnl,https://en.wikipedia.org/wiki/Instinet,INSTINET LLC
247,4775 LEAGUE ISLAND BLVD LP ,EVENT,-,-,LEAGUE ISLAND BLVD LP
248,LEVEL 3 COMMUNICATIONS ,ORGANIZATION,/m/061c4p,https://en.wikipedia.org/wiki/Level_3_Communications,LEVEL 3 COMMUNICATIONS
249,Beijing China Overseas Plaza Property ,LOCATION,/m/01914,https://en.wikipedia.org/wiki/Beijing,Beijing
250,DROPBOX INC ,OTHER,/m/04mzcr5,https://en.wikipedia.org/wiki/Dropbox_(service),DROPBOX INC
251,HandelshÃ¶gskolan i Stockholm Executive ,PERSON,-,-,HandelshÃ¶gskolan i Stockholm Executive
252,SVF FOUNDRY SAN FRANCISCO CORPORATION ,ORGANIZATION,-,-,SVF
253,Marketsnext Pte Ltd ,ORGANIZATION,-,-,Marketsnext Pte Ltd
254,RED HAT INC  ,OTHER,/m/02h5b_x,https://en.wikipedia.org/wiki/Red_Hat,RED HAT INC
255,Open Text AB ,OTHER,-,-,Open Text AB
256,Corvil Limited ,OTHER,/g/11ghrc3cj7,https://en.wikipedia.org/wiki/Corvil,Corvil Limited
257,MENKES UNION TOWER INC ,ORGANIZATION,-,-,MENKES UNION TOWER INC
258,Fresh & Honest Cafe Limited ,OTHER,-,-,Honest Cafe Limited
259,IBM Service AV System ,ORGANIZATION,/m/03sc8,https://en.wikipedia.org/wiki/IBM,IBM
260,COLUMBIA UNIVERSITY ,ORGANIZATION,/m/01w5m,https://en.wikipedia.org/wiki/Columbia_University,COLUMBIA UNIVERSITY
261,FrjÃ¡ls fjÃ¶lmiÃ°lun ,PERSON,-,-,FrjÃ
262,GO ETF MANAGEMENT LIMITED ,OTHER,-,-,GO ETF MANAGEMENT LIMITED
263,Retriever Sverige AB ,OTHER,-,-,Retriever Sverige AB
264,Tyto Software Pvt Ltd ,ORGANIZATION,/g/11dymfybwc,-,Tyto Software Pvt Ltd
265,Vodafone ,ORGANIZATION,/m/02d6ph,https://en.wikipedia.org/wiki/Vodafone,Vodafone
266,AB STOKAB ,OTHER,-,-,AB STOKAB
267,PRAGATHI CONTROLS ,OTHER,-,-,PRAGATHI CONTROLS
268,PIPE Networks Pty Ltd ,ORGANIZATION,/m/02nvxp,https://en.wikipedia.org/wiki/PIPE_Networks,PIPE Networks Pty Ltd
269,DELL MARKETING LP ,ORGANIZATION,/m/0py9b,https://en.wikipedia.org/wiki/Dell,DELL
270,EQUINIX Australia Pty Ltd ,ORGANIZATION,/m/09mw5l1,-,EQUINIX Australia Pty Ltd
271,EPLUS TECHNOLOGY INC ,ORGANIZATION,/m/09n3gng,-,EPLUS TECHNOLOGY INC
272,AON (BERMUDA) LTD  ,ORGANIZATION,/m/0z7n,https://en.wikipedia.org/wiki/Aon_(company),AON
273,Montel AS ,ORGANIZATION,/m/02vwxck,https://en.wikipedia.org/wiki/Montel_(company),Montel AS
274,Savills UK Ltd Clients Account ,ORGANIZATION,-,-,Savills UK Ltd
275,Open System Group AB ,OTHER,-,-,Open System Group AB
276,KEEFE BRUYETTE & WOODS INC ,LOCATION,-,-,KEEFE BRUYETTE
277,TECHNOCRATS SAFETY AND SECURITY SOLU P L ,PERSON,/m/04sx9m,https://en.wikipedia.org/wiki/Technocracy,TECHNOCRATS
278,JESWIN ENTERPRISES ,ORGANIZATION,-,-,JESWIN ENTERPRISES
279,BOPM LP ,OTHER,-,-,BOPM LP
280,S & P Insurance Consulting KB ,OTHER,-,-,Insurance
281,EUROLAND ,LOCATION,-,-,EUROLAND
282,CREDITINFO LÃNSTRAUST ,ORGANIZATION,-,-,CREDITINFO LÃ NSTRAUST
283,SWIRE TRAVEL PHILIPPINES INC  ,ORGANIZATION,-,-,SWIRE TRAVEL PHILIPPINES INC
